Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00   196490     0.00     0.00  neighbor_t* std::__addressof<neighbor_t>(neighbor_t&)
  0.00      0.00     0.00   164312     0.00     0.00  std::_List_iterator<neighbor_t>::_List_iterator(std::__detail::_List_node_base*)
  0.00      0.00     0.00   154923     0.00     0.00  __gnu_cxx::new_allocator<neighbor_t>::new_allocator()
  0.00      0.00     0.00   154923     0.00     0.00  __gnu_cxx::new_allocator<neighbor_t>::~new_allocator()
  0.00      0.00     0.00   154923     0.00     0.00  std::allocator<neighbor_t>::allocator<std::_List_node<neighbor_t> >(std::allocator<std::_List_node<neighbor_t> > const&)
  0.00      0.00     0.00   154923     0.00     0.00  std::allocator<neighbor_t>::~allocator()
  0.00      0.00     0.00   151256     0.00     0.00  std::_List_base<neighbor_t, std::allocator<neighbor_t> >::_M_get_Node_allocator() const
  0.00      0.00     0.00   137056     0.00     0.00  std::_List_base<neighbor_t, std::allocator<neighbor_t> >::_M_get_Tp_allocator() const
  0.00      0.00     0.00   135080     0.00     0.00  std::list<neighbor_t, std::allocator<neighbor_t> >::end()
  0.00      0.00     0.00    97999     0.00     0.00  std::_List_const_iterator<neighbor_t>::operator!=(std::_List_const_iterator<neighbor_t> const&) const
  0.00      0.00     0.00    89236     0.00     0.00  std::_List_iterator<neighbor_t>::operator!=(std::_List_iterator<neighbor_t> const&) const
  0.00      0.00     0.00    83726     0.00     0.00  operator new(unsigned long, void*)
  0.00      0.00     0.00    76779     0.00     0.00  std::_List_const_iterator<neighbor_t>::operator++()
  0.00      0.00     0.00    73896     0.00     0.00  std::_List_const_iterator<neighbor_t>::operator*() const
  0.00      0.00     0.00    68528     0.00     0.00  neighbor_t::~neighbor_t()
  0.00      0.00     0.00    68528     0.00     0.00  __gnu_cxx::new_allocator<neighbor_t>::destroy(neighbor_t*)
  0.00      0.00     0.00    68528     0.00     0.00  __gnu_cxx::new_allocator<neighbor_t>::construct(neighbor_t*, neighbor_t const&)
  0.00      0.00     0.00    68528     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<neighbor_t> >::deallocate(std::_List_node<neighbor_t>*, unsigned long)
  0.00      0.00     0.00    68528     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<neighbor_t> >::allocate(unsigned long, void const*)
  0.00      0.00     0.00    68528     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<neighbor_t> >::max_size() const
  0.00      0.00     0.00    68528     0.00     0.00  std::_List_base<neighbor_t, std::allocator<neighbor_t> >::_M_get_node()
  0.00      0.00     0.00    68528     0.00     0.00  std::_List_base<neighbor_t, std::allocator<neighbor_t> >::_M_put_node(std::_List_node<neighbor_t>*)
  0.00      0.00     0.00    68528     0.00     0.00  std::list<neighbor_t, std::allocator<neighbor_t> >::_M_create_node(neighbor_t const&)
